Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date,isolate_clean,country_clean,isolate_key
EU312106,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,Madagascar,Bos taurus,1991,ACCESSION_EU312106,Madagascar,Madagascar | ACCESSION_EU312106
EU312107,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,Madagascar,Bos taurus,1991,ACCESSION_EU312107,Madagascar,Madagascar | ACCESSION_EU312107
EU312108,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,Madagascar,Bos taurus,1991,ACCESSION_EU312108,Madagascar,Madagascar | ACCESSION_EU312108
EU312112,Rift Valley fever virus,Phlebovirus riftense,NA,S,1691,complete,Madagascar,Culicidae,1979,ACCESSION_EU312112,Madagascar,Madagascar | ACCESSION_EU312112
GQ443126,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-01-30,ACCESSION_GQ443126,Madagascar,Madagascar | ACCESSION_GQ443126
GQ443127,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-02-20,ACCESSION_GQ443127,Madagascar,Madagascar | ACCESSION_GQ443127
GQ443128,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-02-20,ACCESSION_GQ443128,Madagascar,Madagascar | ACCESSION_GQ443128
GQ443129,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-02-22,ACCESSION_GQ443129,Madagascar,Madagascar | ACCESSION_GQ443129
GQ443130,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-02-15,ACCESSION_GQ443130,Madagascar,Madagascar | ACCESSION_GQ443130
GQ443131,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-02-22,ACCESSION_GQ443131,Madagascar,Madagascar | ACCESSION_GQ443131
GQ443132,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-02-22,ACCESSION_GQ443132,Madagascar,Madagascar | ACCESSION_GQ443132
GQ443133,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-02-26,ACCESSION_GQ443133,Madagascar,Madagascar | ACCESSION_GQ443133
GQ443134,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-02-26,ACCESSION_GQ443134,Madagascar,Madagascar | ACCESSION_GQ443134
GQ443135,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-09,ACCESSION_GQ443135,Madagascar,Madagascar | ACCESSION_GQ443135
GQ443136,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443136,Madagascar,Madagascar | ACCESSION_GQ443136
GQ443137,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443137,Madagascar,Madagascar | ACCESSION_GQ443137
GQ443138,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443138,Madagascar,Madagascar | ACCESSION_GQ443138
GQ443139,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-11,ACCESSION_GQ443139,Madagascar,Madagascar | ACCESSION_GQ443139
GQ443140,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-14,ACCESSION_GQ443140,Madagascar,Madagascar | ACCESSION_GQ443140
GQ443141,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-16,ACCESSION_GQ443141,Madagascar,Madagascar | ACCESSION_GQ443141
GQ443142,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443142,Madagascar,Madagascar | ACCESSION_GQ443142
GQ443143,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443143,Madagascar,Madagascar | ACCESSION_GQ443143
GQ443144,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443144,Madagascar,Madagascar | ACCESSION_GQ443144
GQ443145,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443145,Madagascar,Madagascar | ACCESSION_GQ443145
GQ443146,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443146,Madagascar,Madagascar | ACCESSION_GQ443146
GQ443147,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443147,Madagascar,Madagascar | ACCESSION_GQ443147
GQ443148,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443148,Madagascar,Madagascar | ACCESSION_GQ443148
GQ443149,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443149,Madagascar,Madagascar | ACCESSION_GQ443149
GQ443150,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443150,Madagascar,Madagascar | ACCESSION_GQ443150
GQ443151,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443151,Madagascar,Madagascar | ACCESSION_GQ443151
GQ443152,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-03-24,ACCESSION_GQ443152,Madagascar,Madagascar | ACCESSION_GQ443152
GQ443153,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-03-24,ACCESSION_GQ443153,Madagascar,Madagascar | ACCESSION_GQ443153
GQ443154,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-03-23,ACCESSION_GQ443154,Madagascar,Madagascar | ACCESSION_GQ443154
GQ443155,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-03-24,ACCESSION_GQ443155,Madagascar,Madagascar | ACCESSION_GQ443155
GQ443156,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-25,ACCESSION_GQ443156,Madagascar,Madagascar | ACCESSION_GQ443156
GQ443157,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443157,Madagascar,Madagascar | ACCESSION_GQ443157
GQ443158,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443158,Madagascar,Madagascar | ACCESSION_GQ443158
GQ443159,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443159,Madagascar,Madagascar | ACCESSION_GQ443159
GQ443160,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443160,Madagascar,Madagascar | ACCESSION_GQ443160
GQ443161,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443161,Madagascar,Madagascar | ACCESSION_GQ443161
GQ443162,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443162,Madagascar,Madagascar | ACCESSION_GQ443162
GQ443163,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-03-28,ACCESSION_GQ443163,Madagascar,Madagascar | ACCESSION_GQ443163
GQ443164,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Capra hircus,2008-04-13,ACCESSION_GQ443164,Madagascar,Madagascar | ACCESSION_GQ443164
GQ443165,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-04-15,ACCESSION_GQ443165,Madagascar,Madagascar | ACCESSION_GQ443165
GQ443166,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-04-18,ACCESSION_GQ443166,Madagascar,Madagascar | ACCESSION_GQ443166
GQ443167,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Ovis aries,2008-04-20,ACCESSION_GQ443167,Madagascar,Madagascar | ACCESSION_GQ443167
GQ443168,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-04-25,ACCESSION_GQ443168,Madagascar,Madagascar | ACCESSION_GQ443168
GQ443169,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-04-25,ACCESSION_GQ443169,Madagascar,Madagascar | ACCESSION_GQ443169
GQ443170,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-04-29,ACCESSION_GQ443170,Madagascar,Madagascar | ACCESSION_GQ443170
GQ443171,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-04-23,ACCESSION_GQ443171,Madagascar,Madagascar | ACCESSION_GQ443171
GQ443172,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-11-28,ACCESSION_GQ443172,Madagascar,Madagascar | ACCESSION_GQ443172
GQ443173,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-11-29,ACCESSION_GQ443173,Madagascar,Madagascar | ACCESSION_GQ443173
GQ443174,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Bos taurus,2008-12-01,ACCESSION_GQ443174,Madagascar,Madagascar | ACCESSION_GQ443174
GQ443175,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Homo sapiens,2008-12-12,ACCESSION_GQ443175,Madagascar,Madagascar | ACCESSION_GQ443175
GQ443176,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-01-30,ACCESSION_GQ443176,Madagascar,Madagascar | ACCESSION_GQ443176
GQ443177,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-02-20,ACCESSION_GQ443177,Madagascar,Madagascar | ACCESSION_GQ443177
GQ443178,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-02-20,ACCESSION_GQ443178,Madagascar,Madagascar | ACCESSION_GQ443178
GQ443179,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-02-22,ACCESSION_GQ443179,Madagascar,Madagascar | ACCESSION_GQ443179
GQ443180,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-02-15,ACCESSION_GQ443180,Madagascar,Madagascar | ACCESSION_GQ443180
GQ443181,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-02-22,ACCESSION_GQ443181,Madagascar,Madagascar | ACCESSION_GQ443181
GQ443182,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-02-26,ACCESSION_GQ443182,Madagascar,Madagascar | ACCESSION_GQ443182
GQ443183,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-02-26,ACCESSION_GQ443183,Madagascar,Madagascar | ACCESSION_GQ443183
GQ443184,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-09,ACCESSION_GQ443184,Madagascar,Madagascar | ACCESSION_GQ443184
GQ443185,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443185,Madagascar,Madagascar | ACCESSION_GQ443185
GQ443186,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443186,Madagascar,Madagascar | ACCESSION_GQ443186
GQ443187,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443187,Madagascar,Madagascar | ACCESSION_GQ443187
GQ443188,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-11,ACCESSION_GQ443188,Madagascar,Madagascar | ACCESSION_GQ443188
GQ443189,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-14,ACCESSION_GQ443189,Madagascar,Madagascar | ACCESSION_GQ443189
GQ443190,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-16,ACCESSION_GQ443190,Madagascar,Madagascar | ACCESSION_GQ443190
GQ443191,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443191,Madagascar,Madagascar | ACCESSION_GQ443191
GQ443192,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443192,Madagascar,Madagascar | ACCESSION_GQ443192
GQ443193,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443193,Madagascar,Madagascar | ACCESSION_GQ443193
GQ443194,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443194,Madagascar,Madagascar | ACCESSION_GQ443194
GQ443195,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443195,Madagascar,Madagascar | ACCESSION_GQ443195
GQ443196,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443196,Madagascar,Madagascar | ACCESSION_GQ443196
GQ443197,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443197,Madagascar,Madagascar | ACCESSION_GQ443197
GQ443198,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443198,Madagascar,Madagascar | ACCESSION_GQ443198
GQ443199,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443199,Madagascar,Madagascar | ACCESSION_GQ443199
GQ443200,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-03-24,ACCESSION_GQ443200,Madagascar,Madagascar | ACCESSION_GQ443200
GQ443201,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-03-24,ACCESSION_GQ443201,Madagascar,Madagascar | ACCESSION_GQ443201
GQ443202,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-03-24,ACCESSION_GQ443202,Madagascar,Madagascar | ACCESSION_GQ443202
GQ443203,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-25,ACCESSION_GQ443203,Madagascar,Madagascar | ACCESSION_GQ443203
GQ443204,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443204,Madagascar,Madagascar | ACCESSION_GQ443204
GQ443205,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443205,Madagascar,Madagascar | ACCESSION_GQ443205
GQ443206,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443206,Madagascar,Madagascar | ACCESSION_GQ443206
GQ443207,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443207,Madagascar,Madagascar | ACCESSION_GQ443207
GQ443208,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443208,Madagascar,Madagascar | ACCESSION_GQ443208
GQ443209,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-03-28,ACCESSION_GQ443209,Madagascar,Madagascar | ACCESSION_GQ443209
GQ443210,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Capra hircus,2008-04-13,ACCESSION_GQ443210,Madagascar,Madagascar | ACCESSION_GQ443210
GQ443211,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-04-15,ACCESSION_GQ443211,Madagascar,Madagascar | ACCESSION_GQ443211
GQ443212,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-04-18,ACCESSION_GQ443212,Madagascar,Madagascar | ACCESSION_GQ443212
GQ443213,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Ovis aries,2008-04-20,ACCESSION_GQ443213,Madagascar,Madagascar | ACCESSION_GQ443213
GQ443214,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Bos taurus,2008-04-25,ACCESSION_GQ443214,Madagascar,Madagascar | ACCESSION_GQ443214
GQ443215,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-05-25,ACCESSION_GQ443215,Madagascar,Madagascar | ACCESSION_GQ443215
GQ443216,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-04-29,ACCESSION_GQ443216,Madagascar,Madagascar | ACCESSION_GQ443216
GQ443217,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Homo sapiens,2008-04-23,ACCESSION_GQ443217,Madagascar,Madagascar | ACCESSION_GQ443217
GQ443218,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-01-30,ACCESSION_GQ443218,Madagascar,Madagascar | ACCESSION_GQ443218
GQ443219,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Bos taurus,2008-02-20,ACCESSION_GQ443219,Madagascar,Madagascar | ACCESSION_GQ443219
GQ443220,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Bos taurus,2008-02-20,ACCESSION_GQ443220,Madagascar,Madagascar | ACCESSION_GQ443220
GQ443221,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-02-22,ACCESSION_GQ443221,Madagascar,Madagascar | ACCESSION_GQ443221
GQ443222,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-02-15,ACCESSION_GQ443222,Madagascar,Madagascar | ACCESSION_GQ443222
GQ443223,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-02-26,ACCESSION_GQ443223,Madagascar,Madagascar | ACCESSION_GQ443223
GQ443224,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-09,ACCESSION_GQ443224,Madagascar,Madagascar | ACCESSION_GQ443224
GQ443225,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443225,Madagascar,Madagascar | ACCESSION_GQ443225
GQ443226,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443226,Madagascar,Madagascar | ACCESSION_GQ443226
GQ443227,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-12,ACCESSION_GQ443227,Madagascar,Madagascar | ACCESSION_GQ443227
GQ443228,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-11,ACCESSION_GQ443228,Madagascar,Madagascar | ACCESSION_GQ443228
GQ443229,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-14,ACCESSION_GQ443229,Madagascar,Madagascar | ACCESSION_GQ443229
GQ443230,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443230,Madagascar,Madagascar | ACCESSION_GQ443230
GQ443231,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443231,Madagascar,Madagascar | ACCESSION_GQ443231
GQ443232,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443232,Madagascar,Madagascar | ACCESSION_GQ443232
GQ443233,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443233,Madagascar,Madagascar | ACCESSION_GQ443233
GQ443234,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443234,Madagascar,Madagascar | ACCESSION_GQ443234
GQ443235,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443235,Madagascar,Madagascar | ACCESSION_GQ443235
GQ443236,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443236,Madagascar,Madagascar | ACCESSION_GQ443236
GQ443237,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443237,Madagascar,Madagascar | ACCESSION_GQ443237
GQ443238,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443238,Madagascar,Madagascar | ACCESSION_GQ443238
GQ443239,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-23,ACCESSION_GQ443239,Madagascar,Madagascar | ACCESSION_GQ443239
GQ443240,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Bos taurus,2008-03-24,ACCESSION_GQ443240,Madagascar,Madagascar | ACCESSION_GQ443240
GQ443241,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-25,ACCESSION_GQ443241,Madagascar,Madagascar | ACCESSION_GQ443241
GQ443242,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443242,Madagascar,Madagascar | ACCESSION_GQ443242
GQ443243,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443243,Madagascar,Madagascar | ACCESSION_GQ443243
GQ443244,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443244,Madagascar,Madagascar | ACCESSION_GQ443244
GQ443245,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443245,Madagascar,Madagascar | ACCESSION_GQ443245
GQ443246,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443246,Madagascar,Madagascar | ACCESSION_GQ443246
GQ443247,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-26,ACCESSION_GQ443247,Madagascar,Madagascar | ACCESSION_GQ443247
GQ443248,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-03-28,ACCESSION_GQ443248,Madagascar,Madagascar | ACCESSION_GQ443248
GQ443249,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Capra hircus,2008-04-13,ACCESSION_GQ443249,Madagascar,Madagascar | ACCESSION_GQ443249
GQ443250,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-04-15,ACCESSION_GQ443250,Madagascar,Madagascar | ACCESSION_GQ443250
GQ443251,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Bos taurus,2008-04-18,ACCESSION_GQ443251,Madagascar,Madagascar | ACCESSION_GQ443251
GQ443252,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Ovis aries,2008-04-20,ACCESSION_GQ443252,Madagascar,Madagascar | ACCESSION_GQ443252
GQ443253,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Bos taurus,2008-04-25,ACCESSION_GQ443253,Madagascar,Madagascar | ACCESSION_GQ443253
GQ443254,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-05-25,ACCESSION_GQ443254,Madagascar,Madagascar | ACCESSION_GQ443254
GQ443255,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-04-29,ACCESSION_GQ443255,Madagascar,Madagascar | ACCESSION_GQ443255
GQ443256,Rift Valley fever virus,Phlebovirus riftense,NA,M,756,partial,Madagascar,Homo sapiens,2008-04-23,ACCESSION_GQ443256,Madagascar,Madagascar | ACCESSION_GQ443256
GU135840,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Anopheles coustani,2008-12-19,ACCESSION_GU135840,Madagascar,Madagascar | ACCESSION_GU135840
GU135841,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Anopheles squamosus,2008-12-19,ACCESSION_GU135841,Madagascar,Madagascar | ACCESSION_GU135841
GU135842,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Anopheles squamosus,2008-12-20,ACCESSION_GU135842,Madagascar,Madagascar | ACCESSION_GU135842
GU135843,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Culex antennatus,2008-12-19,ACCESSION_GU135843,Madagascar,Madagascar | ACCESSION_GU135843
GU135844,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Culex antennatus,2008-12-20,ACCESSION_GU135844,Madagascar,Madagascar | ACCESSION_GU135844
GU135845,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Anopheles squamosus,2009-04-27,ACCESSION_GU135845,Madagascar,Madagascar | ACCESSION_GU135845
GU135846,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Anopheles squamosus,2009-04-27,ACCESSION_GU135846,Madagascar,Madagascar | ACCESSION_GU135846
GU135847,Rift Valley fever virus,Phlebovirus riftense,NA,S,627,partial,Madagascar,Anopheles squamosus,2009-04-28,ACCESSION_GU135847,Madagascar,Madagascar | ACCESSION_GU135847
GU135848,Rift Valley fever virus,Phlebovirus riftense,NA,L,564,partial,Madagascar,Anopheles coustani,2008-12-19,ACCESSION_GU135848,Madagascar,Madagascar | ACCESSION_GU135848
